title,name,value
10.3.2023,6 kk (tod.pv/360),"3,445"
10.3.2023,12 kk (tod.pv/360),"3,953"
9.3.2023,1 kk (tod.pv/360),"2,573"
9.3.2023,3 kk (tod.pv/360),"2,948"
9.3.2023,6 kk (tod.pv/360),"3,461"
9.3.2023,12 kk (tod.pv/360),"3,978"
8.3.2023,1 kk (tod.pv/360),"2,565"
8.3.2023,3 kk (tod.pv/360),"2,944"
8.3.2023,6 kk (tod.pv/360),"3,451"
8.3.2023,12 kk (tod.pv/360),"3,944"
7.3.2023,1 kk (tod.pv/360),"2,562"
7.3.2023,3 kk (tod.pv/360),"2,920"
7.3.2023,6 kk (tod.pv/360),"3,418"
7.3.2023,12 kk (tod.pv/360),"3,908"
6.3.2023,1 kk (tod.pv/360),"2,511"
6.3.2023,3 kk (tod.pv/360),"2,875"
6.3.2023,6 kk (tod.pv/360),"3,363"
6.3.2023,12 kk (tod.pv/360),"3,859"
3.3.2023,1 kk (tod.pv/360),"2,551"
3.3.2023,3 kk (tod.pv/360),"2,849"
3.3.2023,6 kk (tod.pv/360),"3,353"
3.3.2023,12 kk (tod.pv/360),"3,826"
2.3.2023,1 kk (tod.pv/360),"2,502"
2.3.2023,3 kk (tod.pv/360),"2,801"
2.3.2023,6 kk (tod.pv/360),"3,366"
2.3.2023,12 kk (tod.pv/360),"3,821"
1.3.2023,1 kk (tod.pv/360),"2,487"
1.3.2023,3 kk (tod.pv/360),"2,783"
1.3.2023,6 kk (tod.pv/360),"3,311"
1.3.2023,12 kk (tod.pv/360),"3,745"
28.2.2023,1 kk (tod.pv/360),"2,478"
28.2.2023,3 kk (tod.pv/360),"2,744"
28.2.2023,6 kk (tod.pv/360),"3,290"
28.2.2023,12 kk (tod.pv/360),"3,725"
27.2.2023,1 kk (tod.pv/360),"2,422"
27.2.2023,3 kk (tod.pv/360),"2,716"
27.2.2023,6 kk (tod.pv/360),"3,242"
27.2.2023,12 kk (tod.pv/360),"3,680"
24.2.2023,1 kk (tod.pv/360),"2,429"
24.2.2023,3 kk (tod.pv/360),"2,698"
24.2.2023,6 kk (tod.pv/360),"3,233"
24.2.2023,12 kk (tod.pv/360),"3,662"
23.2.2023,1 kk (tod.pv/360),"2,403"
23.2.2023,3 kk (tod.pv/360),"2,693"
23.2.2023,6 kk (tod.pv/360),"3,198"
23.2.2023,12 kk (tod.pv/360),"3,642"
22.2.2023,1 kk (tod.pv/360),"2,396"
22.2.2023,3 kk (tod.pv/360),"2,683"
22.2.2023,6 kk (tod.pv/360),"3,197"
22.2.2023,12 kk (tod.pv/360),"3,625"
21.2.2023,1 kk (tod.pv/360),"2,392"
21.2.2023,3 kk (tod.pv/360),"2,682"
21.2.2023,6 kk (tod.pv/360),"3,225"
21.2.2023,12 kk (tod.pv/360),"3,578"
20.2.2023,1 kk (tod.pv/360),"2,383"
20.2.2023,3 kk (tod.pv/360),"2,654"
20.2.2023,6 kk (tod.pv/360),"3,192"
20.2.2023,12 kk (tod.pv/360),"3,579"
17.2.2023,1 kk (tod.pv/360),"2,374"
17.2.2023,3 kk (tod.pv/360),"2,667"
17.2.2023,6 kk (tod.pv/360),"3,212"
17.2.2023,12 kk (tod.pv/360),"3,572"
16.2.2023,1 kk (tod.pv/360),"2,406"
16.2.2023,3 kk (tod.pv/360),"2,703"
16.2.2023,6 kk (tod.pv/360),"3,192"
16.2.2023,12 kk (tod.pv/360),"3,567"
15.2.2023,1 kk (tod.pv/360),"2,405"
15.2.2023,3 kk (tod.pv/360),"2,682"
15.2.2023,6 kk (tod.pv/360),"3,166"
15.2.2023,12 kk (tod.pv/360),"3,542"
14.2.2023,1 kk (tod.pv/360),"2,374"
14.2.2023,3 kk (tod.pv/360),"2,660"
14.2.2023,6 kk (tod.pv/360),"3,135"
14.2.2023,12 kk (tod.pv/360),"3,518"
13.2.2023,1 kk (tod.pv/360),"2,402"
13.2.2023,3 kk (tod.pv/360),"2,654"
13.2.2023,6 kk (tod.pv/360),"3,102"
13.2.2023,12 kk (tod.pv/360),"3,510"
10.2.2023,1 kk (tod.pv/360),"2,375"
10.2.2023,3 kk (tod.pv/360),"2,621"
10.2.2023,6 kk (tod.pv/360),"3,080"
10.2.2023,12 kk (tod.pv/360),"3,465"
9.2.2023,1 kk (tod.pv/360),"2,363"
9.2.2023,3 kk (tod.pv/360),"2,607"
9.2.2023,6 kk (tod.pv/360),"3,103"
9.2.2023,12 kk (tod.pv/360),"3,486"
8.2.2023,1 kk (tod.pv/360),"2,381"
8.2.2023,3 kk (tod.pv/360),"2,608"
8.2.2023,6 kk (tod.pv/360),"3,054"
8.2.2023,12 kk (tod.pv/360),"3,451"
7.2.2023,1 kk (tod.pv/360),"2,361"
7.2.2023,3 kk (tod.pv/360),"2,602"
7.2.2023,6 kk (tod.pv/360),"3,029"
7.2.2023,12 kk (tod.pv/360),"3,435"
6.2.2023,1 kk (tod.pv/360),"2,325"
6.2.2023,3 kk (tod.pv/360),"2,565"
6.2.2023,6 kk (tod.pv/360),"3,008"
6.2.2023,12 kk (tod.pv/360),"3,401"
3.2.2023,1 kk (tod.pv/360),"2,255"
3.2.2023,3 kk (tod.pv/360),"2,545"
3.2.2023,6 kk (tod.pv/360),"3,011"
3.2.2023,12 kk (tod.pv/360),"3,374"
2.2.2023,1 kk (tod.pv/360),"2,262"
2.2.2023,3 kk (tod.pv/360),"2,540"
2.2.2023,6 kk (tod.pv/360),"3,029"
2.2.2023,12 kk (tod.pv/360),"3,446"
1.2.2023,1 kk (tod.pv/360),"2,190"
1.2.2023,3 kk (tod.pv/360),"2,483"
1.2.2023,6 kk (tod.pv/360),"3,009"
1.2.2023,12 kk (tod.pv/360),"3,414"
31.1.2023,1 kk (tod.pv/360),"2,177"
31.1.2023,3 kk (tod.pv/360),"2,512"
31.1.2023,6 kk (tod.pv/360),"2,988"
31.1.2023,12 kk (tod.pv/360),"3,413"
30.1.2023,1 kk (tod.pv/360),"2,144"
30.1.2023,3 kk (tod.pv/360),"2,482"
30.1.2023,6 kk (tod.pv/360),"2,959"
30.1.2023,12 kk (tod.pv/360),"3,368"
27.1.2023,1 kk (tod.pv/360),"2,130"
27.1.2023,3 kk (tod.pv/360),"2,492"
27.1.2023,6 kk (tod.pv/360),"2,942"
27.1.2023,12 kk (tod.pv/360),"3,356"
26.1.2023,1 kk (tod.pv/360),"2,077"
26.1.2023,3 kk (tod.pv/360),"2,468"
26.1.2023,6 kk (tod.pv/360),"2,922"
26.1.2023,12 kk (tod.pv/360),"3,352"
25.1.2023,1 kk (tod.pv/360),"2,064"
25.1.2023,3 kk (tod.pv/360),"2,458"
25.1.2023,6 kk (tod.pv/360),"2,928"
25.1.2023,12 kk (tod.pv/360),"3,363"
24.1.2023,1 kk (tod.pv/360),"2,052"
24.1.2023,3 kk (tod.pv/360),"2,501"
24.1.2023,6 kk (tod.pv/360),"2,922"
24.1.2023,12 kk (tod.pv/360),"3,353"
23.1.2023,1 kk (tod.pv/360),"2,014"
23.1.2023,3 kk (tod.pv/360),"2,449"
23.1.2023,6 kk (tod.pv/360),"2,917"
23.1.2023,12 kk (tod.pv/360),"3,345"
20.1.2023,1 kk (tod.pv/360),"1,999"
20.1.2023,3 kk (tod.pv/360),"2,417"
20.1.2023,6 kk (tod.pv/360),"2,895"
20.1.2023,12 kk (tod.pv/360),"3,327"
19.1.2023,1 kk (tod.pv/360),"1,990"
19.1.2023,3 kk (tod.pv/360),"2,393"
19.1.2023,6 kk (tod.pv/360),"2,857"
19.1.2023,12 kk (tod.pv/360),"3,300"
18.1.2023,1 kk (tod.pv/360),"1,985"
18.1.2023,3 kk (tod.pv/360),"2,342"
18.1.2023,6 kk (tod.pv/360),"2,832"
18.1.2023,12 kk (tod.pv/360),"3,311"
17.1.2023,1 kk (tod.pv/360),"1,980"
17.1.2023,3 kk (tod.pv/360),"2,335"
17.1.2023,6 kk (tod.pv/360),"2,878"
17.1.2023,12 kk (tod.pv/360),"3,339"
16.1.2023,1 kk (tod.pv/360),"1,970"
16.1.2023,3 kk (tod.pv/360),"2,334"
16.1.2023,6 kk (tod.pv/360),"2,843"
16.1.2023,12 kk (tod.pv/360),"3,332"
13.1.2023,1 kk (tod.pv/360),"1,908"
13.1.2023,3 kk (tod.pv/360),"2,328"
13.1.2023,6 kk (tod.pv/360),"2,876"
13.1.2023,12 kk (tod.pv/360),"3,315"
12.1.2023,1 kk (tod.pv/360),"1,918"
12.1.2023,3 kk (tod.pv/360),"2,288"
12.1.2023,6 kk (tod.pv/360),"2,818"
12.1.2023,12 kk (tod.pv/360),"3,325"
11.1.2023,1 kk (tod.pv/360),"1,922"
11.1.2023,3 kk (tod.pv/360),"2,298"
11.1.2023,6 kk (tod.pv/360),"2,858"
11.1.2023,12 kk (tod.pv/360),"3,370"
10.1.2023,1 kk (tod.pv/360),"1,935"
10.1.2023,3 kk (tod.pv/360),"2,284"
10.1.2023,6 kk (tod.pv/360),"2,820"
10.1.2023,12 kk (tod.pv/360),"3,338"
9.1.2023,1 kk (tod.pv/360),"1,898"
9.1.2023,3 kk (tod.pv/360),"2,270"
9.1.2023,6 kk (tod.pv/360),"2,809"
